A2414FAA-D713-49F9-9547-D9FCFBF54BE1,Markus Jimenez,25/01/1970,1544
FB9FC3E7-6259-45E9-987B-8E614BC38531,Nona Rubio,,1525,-4025.25
C3ADE4EB-C2A3-4DF0-B96B-9E1FCB6A0B51,,27/01/1970,,-3986.26
,Zelma Hawkins,28/01/1970,1487,-3947.27
2E78E7CE-2688-49C2-9088-4739C0ACA769,Rigoberto Ferrell,01/29/2019,1468,-3908.28
56C52C53-A98C-4586-8C96-8CD80CFCE8C7,Val Cortez,1/30/19,1449,-3869.29
F85FFF8F-BCDC-432C-9B75-D82A59F7E389,Brain Zimmerman,31/01/19,1430,-3830.30
C45BBDEA-A89F-4CEC-B4D4-D8AAA02DB48C,Barney Ellis,1411,02/01/1970,-3791.31
9B41444F-FADA-4333-B89A-152E0D1F52B5,Elise Lang,02/02/1970a,1392,-3752.32
168F7730-1C00-4569-B840-44EC8D887934,Valeria Morrison,03/02/1970,1373.01,-3713.33
A369C4B3-3E80-4F2B-BAFA-3E7971E552D3,Gabriel Pittman,04/02/1970,01354,-3674.34
6AA087A6-0EA0-4A5C-89EC-591C2A58200E,Maura Mcgee,05/02/1970,1335a,-3635.35
CEA87EA2-3476-4546-8018-0EBA26175A1D,Juliette Bryant,06/02/1970,1316,-3596.3653
647816A4-B8EC-4BEC-A931-FFDB4EE9D4FC,Ruthie Nelson,07/02/1970,1297,-3557.37a
750D86F0-C8EA-45FE-9E1F-705408DFD85B,Mark Acosta,08/02/1970,1278,"-3,518.38"
E9CA0332-10C6-4E00-A0D6-2B245FEC7C0B,Bryce Nunez,09/02/1970,1259,-34.79.39
1E6C1DCF-F492-4675-A5D5-23AB4CD0CBD5,Lucien Mcbride,10/02/1970,1240,-344.040
7C90E3AD-E89E-4BAC-958C-E350F9A564CE,Angelia Beltran,11/02/1970,1221,3-401.41
A586F3D3-B1F7-45DB-8BD2-804012FC604D,Consuelo Freeman,12/02/1970,1202,-3362.42
A586F3D3-B1F7-45DB-8BD2-804012FC604D,Consuelo Freeman,12/02/1970,1202,-3362.42
0CBF6990-62B5-4C99-8DE5-D373A5555995,"Crystal Snow,14/02/1970",1164,-3284.44
A8E4E0F5-21E9-4044-82FD-E9A7C772E952,,,,
C2E4650E-07BC-45C7-860F-7753646B79F8,,16/02/1970,,
497E3BD9-3064-4CAB-B6CE-DE79E40F8A18,Luigi Walton,,,-3167.47
,Genaro Ayers,18/02/1970,1088,-3128.48
30459750-2449-4F1E-B117-DB8D0FDA7818,,,1069,

32A0C56B-A9B6-4F42-87B7-AB36AFFE932B,Otto Ali,20/02/1970,1050,-3050.50
A0DD5D2E-54E2-4EAA-B032-D1B4EA80BEB5,Ken Hatfield,21/02/1970	,1031,	-3011.51
CBB1BA00-66A6-4A08-8B3B-92F14463BA46,Eloise Todd		,22/02/1970,1012,-2972.52
683BA251-ECA1-4127-B6A8-83AB16A0B027	,Josiah Garner,23/02/1970,993,-2933.53
C175CD2F-9D28-4A8D-B4BA-CFA6DA18FDBC,F  rank lyn Gen  	try,24/02/1970,974,-2894.54
5DA5E348-CB6D-4FDA-A59D-F98B6BCE5EC0,Josephine Gaines,25\02\1970,955,-2855.55
C345BCD1-854B-4D65-8F62-AA901D003A94,Haley Cuevas,26/02/1970,936,+2816.56
10833203-90C8-4684-84C2-3D10202C21A7,Mason		Pennington		,27/02/1970,917,-2777.57
E4B59D0B-4333-4BD8-BA1C-B0C68DDD2C93,Jeannette Estes,,,
A65325C6-BB2E-4684-B9B3-9F68B2234917,,01/03/1970,,
FD787F35-00A2-4A92-BC17-2FD5D269E7B7,,,860,
DB680A0D-9875-4490-8B7D-9A95A0B5BD53,,,,-2621.61

